as_on_date,unique_id,ngo_name,ngo_email,state_of_registration,registered_district,registered_subdistrict,type_of_ngo,registration_authority,registration_number,act_name,date_of_registration,sectors,operational_district,operational_state,source_url
2026-09-16,DARPAN_509018,Goonj Association 57,contact@goonjassocia.org,Karnataka,Mangaluru,Mangaluru Taluk,Society,Registrar of Societies,SOC/112/2013/8353,"Societies Registration Act, 1860",2023-09-22,"Healthcare & Medical, Skill Development & Livelihood, Rural Development",Mangaluru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_509018
2026-09-16,DARPAN_509018,Goonj Association 57 (Dharwad),contact@goonjassocia.org,Karnataka,Mangaluru,Mangaluru Taluk,Society,Registrar of Societies,SOC/112/2013/8353,"Societies Registration Act, 1860",2023-09-22,"Healthcare & Medical, Skill Development & Livelihood, Rural Development",Dharwad,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_509018
2026-09-16,DARPAN_509018,Goonj Association 57 (Kozhikode),contact@goonjassocia.org,Karnataka,Mangaluru,Mangaluru Taluk,Society,Registrar of Societies,SOC/112/2013/8353,"Societies Registration Act, 1860",2023-09-22,"Healthcare & Medical, Skill Development & Livelihood, Rural Development",Kozhikode,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_509018
2026-09-16,DARPAN_310416,Manav Sansthan 58,contact@manavsanstha.org,Karnataka,Belagavi,Belagavi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/247/2022/4578,"Indian Trusts Act, 1882",2019-08-23,Education,Belagavi,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_310416
2026-09-16,DARPAN_310416,Manav Sansthan 58 (Dharwad),contact@manavsanstha.org,Karnataka,Belagavi,Belagavi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/247/2022/4578,"Indian Trusts Act, 1882",2019-08-23,Education,Dharwad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_310416
2026-09-16,DARPAN_310416,Manav Sansthan 58 (Bengaluru Urban),contact@manavsanstha.org,Karnataka,Belagavi,Belagavi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/247/2022/4578,"Indian Trusts Act, 1882",2019-08-23,Education,Bengaluru Urban,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_310416
2026-09-16,DARPAN_248468,Goonj Foundation 59,contact@goonjfoundat.org,Rajasthan,Jaipur,Jaipur Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/818/2003/1235,"Indian Trusts Act, 1882",2023-05-27,"Child Welfare, Nutrition & Food Security",Jaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_248468
2026-09-16,DARPAN_248468,Goonj Foundation 59 (Raigad),contact@goonjfoundat.org,Rajasthan,Jaipur,Jaipur Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/818/2003/1235,"Indian Trusts Act, 1882",2023-05-27,"Child Welfare, Nutrition & Food Security",Raigad,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_248468
2026-09-16,DARPAN_248468,Goonj Foundation 59 (Thane),contact@goonjfoundat.org,Rajasthan,Jaipur,Jaipur Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/818/2003/1235,"Indian Trusts Act, 1882",2023-05-27,"Child Welfare, Nutrition & Food Security",Thane,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_248468
2026-09-16,DARPAN_648496,Kavach Sansthan 60,contact@kavachsansth.org,Delhi,Central Delhi,Central Delhi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/808/1997/3949,"Companies Act, 2013",2014-02-21,"Environment & Forests, Rural Development, Women Empowerment",Central Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_648496
2026-09-16,DARPAN_656921,Sahyog Mission 61,contact@sahyogmissio.org,Maharashtra,Nashik,Nashik Taluk,Society,Registrar of Societies,SOC/346/2000/1203,"Societies Registration Act, 1860",2017-04-05,Disaster Relief & Rehabilitation,Nashik,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_656921
2026-09-16,DARPAN_644861,Sankalp Sansthan 62,contact@sankalpsanst.org,Odisha,Sundargarh,Sundargarh Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/761/2015/8965,"Companies Act, 2013",2014-09-15,"Water & Sanitation, Nutrition & Food Security",Sundargarh,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_644861
2026-09-16,DARPAN_644861,Sankalp Sansthan 62 (Cuttack),contact@sankalpsanst.org,Odisha,Sundargarh,Sundargarh Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/761/2015/8965,"Companies Act, 2013",2014-09-15,"Water & Sanitation, Nutrition & Food Security",Cuttack,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_644861
2026-09-16,DARPAN_644861,Sankalp Sansthan 62 (Puri),contact@sankalpsanst.org,Odisha,Sundargarh,Sundargarh Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/761/2015/8965,"Companies Act, 2013",2014-09-15,"Water & Sanitation, Nutrition & Food Security",Puri,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_644861
2026-09-16,DARPAN_243578,Prerna Society 63,contact@prernasociet.org,Kerala,Kozhikode,Kozhikode Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/602/1997/5947,"Companies Act, 2013",2006-09-24,"Education, Water & Sanitation",Kozhikode,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_243578
2026-09-16,DARPAN_243578,Prerna Society 63 (Thrissur),contact@prernasociet.org,Kerala,Kozhikode,Kozhikode Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/602/1997/5947,"Companies Act, 2013",2006-09-24,"Education, Water & Sanitation",Thrissur,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_243578
2026-09-16,DARPAN_243578,Prerna Society 63 (Thiruvananthapuram),contact@prernasociet.org,Kerala,Kozhikode,Kozhikode Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/602/1997/5947,"Companies Act, 2013",2006-09-24,"Education, Water & Sanitation",Thiruvananthapuram,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_243578
2026-09-16,DARPAN_315378,Shakti Samiti 64,contact@shaktisamiti.org,Karnataka,Dharwad,Dharwad Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/192/2004/5544,"Indian Trusts Act, 1882",2005-03-28,"Water & Sanitation, Disaster Relief & Rehabilitation",Dharwad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_315378
2026-09-16,DARPAN_315378,Shakti Samiti 64 (Bengaluru Urban),contact@shaktisamiti.org,Karnataka,Dharwad,Dharwad Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/192/2004/5544,"Indian Trusts Act, 1882",2005-03-28,"Water & Sanitation, Disaster Relief & Rehabilitation",Bengaluru Urban,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_315378
2026-09-16,DARPAN_614064,Sneha Association 65,contact@snehaassocia.org,Gujarat,Vadodara,Vadodara Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/659/1996/1517,"Companies Act, 2013",1997-02-13,"Women Empowerment, Child Welfare",Vadodara,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_614064
2026-09-16,DARPAN_614064,Sneha Association 65 (Surat),contact@snehaassocia.org,Gujarat,Vadodara,Vadodara Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/659/1996/1517,"Companies Act, 2013",1997-02-13,"Women Empowerment, Child Welfare",Surat,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_614064
2026-09-16,DARPAN_584952,Vikas Samiti 66,contact@vikassamiti6.org,Karnataka,Dharwad,Dharwad Taluk,Society,Registrar of Societies,SOC/520/2015/2055,"Societies Registration Act, 1860",2012-05-27,Nutrition & Food Security,Dharwad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_584952
2026-09-16,DARPAN_584952,Vikas Samiti 66 (Mysuru),contact@vikassamiti6.org,Karnataka,Dharwad,Dharwad Taluk,Society,Registrar of Societies,SOC/520/2015/2055,"Societies Registration Act, 1860",2012-05-27,Nutrition & Food Security,Mysuru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_584952
2026-09-16,DARPAN_584952,Vikas Samiti 66 (Belagavi),contact@vikassamiti6.org,Karnataka,Dharwad,Dharwad Taluk,Society,Registrar of Societies,SOC/520/2015/2055,"Societies Registration Act, 1860",2012-05-27,Nutrition & Food Security,Belagavi,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_584952
2026-09-16,DARPAN_904894,Vikas Seva Sanstha 67,contact@vikassevasan.org,Kerala,Kozhikode,Kozhikode Taluk,Society,Registrar of Societies,SOC/589/2003/5270,"Societies Registration Act, 1860",2022-06-26,Healthcare & Medical,Kozhikode,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_904894
2026-09-16,DARPAN_904894,Vikas Seva Sanstha 67 (Thrissur),contact@vikassevasan.org,Kerala,Kozhikode,Kozhikode Taluk,Society,Registrar of Societies,SOC/589/2003/5270,"Societies Registration Act, 1860",2022-06-26,Healthcare & Medical,Thrissur,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_904894
2026-09-16,DARPAN_623460,Gramin Network 68,contact@graminnetwor.org,Kerala,Kozhikode,Kozhikode Taluk,Society,Registrar of Societies,SOC/727/2011/9470,"Societies Registration Act, 1860",2021-06-24,"Nutrition & Food Security, Skill Development & Livelihood, Child Welfare",Kozhikode,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_623460
2026-09-16,DARPAN_623460,Gramin Network 68 (Thiruvananthapuram),,Kerala,Kozhikode,Kozhikode Taluk,Society,Registrar of Societies,SOC/727/2011/9470,"Societies Registration Act, 1860",2021-06-24,"Nutrition & Food Security, Skill Development & Livelihood, Child Welfare",Thiruvananthapuram,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_623460
2026-09-16,DARPAN_586041,Jan Kalyan Society 69,,Rajasthan,Jaipur,Jaipur Taluk,Society,Registrar of Societies,SOC/579/2022/2297,"Societies Registration Act, 1860",2003-03-05,"Environment & Forests, Disaster Relief & Rehabilitation",Jaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_586041
2026-09-16,DARPAN_586041,Jan Kalyan Society 69 (Udaipur),,Rajasthan,Jaipur,Jaipur Taluk,Society,Registrar of Societies,SOC/579/2022/2297,"Societies Registration Act, 1860",2003-03-05,"Environment & Forests, Disaster Relief & Rehabilitation",Udaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_586041
2026-09-16,DARPAN_455627,Manav Mission 70,contact@manavmission.org,Karnataka,Dharwad,Dharwad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/828/2019/7829,"Companies Act, 2013",2000-12-12,"Nutrition & Food Security, Disaster Relief & Rehabilitation",Dharwad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_455627
2026-09-16,DARPAN_455627,Manav Mission 70 (Bengaluru Urban),contact@manavmission.org,Karnataka,Dharwad,Dharwad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/828/2019/7829,"Companies Act, 2013",2000-12-12,"Nutrition & Food Security, Disaster Relief & Rehabilitation",Bengaluru Urban,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_455627
2026-09-16,DARPAN_455627,Manav Mission 70 (Belagavi),contact@manavmission.org,Karnataka,Dharwad,Dharwad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/828/2019/7829,"Companies Act, 2013",2000-12-12,"Nutrition & Food Security, Disaster Relief & Rehabilitation",Belagavi,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_455627
2026-09-16,DARPAN_919528,Sahyog Samiti 71,contact@sahyogsamiti.org,West Bengal,Kolkata,Kolkata Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/650/2016/7389,"Indian Trusts Act, 1882",2013-03-17,"Environment & Forests, Disaster Relief & Rehabilitation, Healthcare & Medical",Kolkata,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_919528
2026-09-16,DARPAN_919528,Sahyog Samiti 71 (North 24 Parganas),,West Bengal,Kolkata,Kolkata Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/650/2016/7389,"Indian Trusts Act, 1882",2013-03-17,"Environment & Forests, Disaster Relief & Rehabilitation, Healthcare & Medical",North 24 Parganas,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_919528
2026-09-16,DARPAN_919528,Sahyog Samiti 71 (Darjeeling),contact@sahyogsamiti.org,West Bengal,Kolkata,Kolkata Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/650/2016/7389,"Indian Trusts Act, 1882",2013-03-17,"Environment & Forests, Disaster Relief & Rehabilitation, Healthcare & Medical",Darjeeling,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_919528
2026-09-16,DARPAN_489511,Punarutthan Network 72,contact@punarutthann.org,West Bengal,North 24 Parganas,North 24 Parganas Taluk,Society,Registrar of Societies,SOC/128/2004/3328,"Societies Registration Act, 1860",2016-05-10,Child Welfare,North 24 Parganas,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_489511
2026-09-16,DARPAN_489511,Punarutthan Network 72 (Kolkata),contact@punarutthann.org,West Bengal,North 24 Parganas,North 24 Parganas Taluk,Society,Registrar of Societies,SOC/128/2004/3328,"Societies Registration Act, 1860",2016-05-10,Child Welfare,Kolkata,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_489511
2026-09-16,DARPAN_489511,Punarutthan Network 72 (Darjeeling),contact@punarutthann.org,West Bengal,North 24 Parganas,North 24 Parganas Taluk,Society,Registrar of Societies,SOC/128/2004/3328,"Societies Registration Act, 1860",2016-05-10,Child Welfare,Darjeeling,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_489511
2026-09-16,DARPAN_690433,Seva Association 73,contact@sevaassociat.org,Maharashtra,Nashik,Nashik Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/225/2003/5578,"Companies Act, 2013",2007-09-26,Rural Development,Nashik,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_690433
2026-09-16,DARPAN_690433,Seva Association 73 (Pune),contact@sevaassociat.org,Maharashtra,Nashik,Nashik Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/225/2003/5578,"Companies Act, 2013",2007-09-26,Rural Development,Pune,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_690433
2026-09-16,DARPAN_690433,Seva Association 73 (Nagpur),contact@sevaassociat.org,Maharashtra,Nashik,Nashik Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/225/2003/5578,"Companies Act, 2013",2007-09-26,Rural Development,Nagpur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_690433
2026-09-16,DARPAN_304061,Sankalp Trust 74,contact@sankalptrust.org,Odisha,Khordha,Khordha Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/331/2022/2219,"Companies Act, 2013",2008-06-10,Healthcare & Medical,Khordha,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_304061
2026-09-16,DARPAN_304061,Sankalp Trust 74 (Sundargarh),contact@sankalptrust.org,Odisha,Khordha,Khordha Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/331/2022/2219,"Companies Act, 2013",2008-06-10,Healthcare & Medical,Sundargarh,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_304061
2026-09-16,DARPAN_859822,Manav Mission 75,contact@manavmission.org,Karnataka,Mysuru,Mysuru Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/916/1997/1991,"Indian Trusts Act, 1882",2024-09-21,"Environment & Forests, Skill Development & Livelihood",Mysuru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_859822
2026-09-16,DARPAN_859822,Manav Mission 75 (Dharwad),contact@manavmission.org,Karnataka,Mysuru,Mysuru Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/916/1997/1991,"Indian Trusts Act, 1882",2024-09-21,"Environment & Forests, Skill Development & Livelihood",Dharwad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_859822
2026-09-16,DARPAN_859822,Manav Mission 75 (Mangaluru),contact@manavmission.org,Karnataka,Mysuru,Mysuru Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/916/1997/1991,"Indian Trusts Act, 1882",2024-09-21,"Environment & Forests, Skill Development & Livelihood",Mangaluru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_859822
2026-09-16,DARPAN_206105,Asha Society 76,contact@ashasociety7.org,Kerala,Thiruvananthapuram,Thiruvananthapuram Taluk,Society,Registrar of Societies,SOC/315/2014/8474,"Societies Registration Act, 1860",2021-11-06,"Water & Sanitation, Women Empowerment, Healthcare & Medical",Thiruvananthapuram,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_206105
2026-09-16,DARPAN_206105,Asha Society 76 (Ernakulam),contact@ashasociety7.org,Kerala,Thiruvananthapuram,Thiruvananthapuram Taluk,Society,Registrar of Societies,SOC/315/2014/8474,"Societies Registration Act, 1860",2021-11-06,"Water & Sanitation, Women Empowerment, Healthcare & Medical",Ernakulam,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_206105
2026-09-16,DARPAN_924154,Kalyan Mission 77,contact@kalyanmissio.org,Rajasthan,Udaipur,Udaipur Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/420/2007/8025,"Indian Trusts Act, 1882",2014-04-15,"Skill Development & Livelihood, Education",Udaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_924154
2026-09-16,DARPAN_924154,Kalyan Mission 77 (Jodhpur),contact@kalyanmissio.org,Rajasthan,Udaipur,Udaipur Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/420/2007/8025,"Indian Trusts Act, 1882",2014-04-15,"Skill Development & Livelihood, Education",Jodhpur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_924154
2026-09-16,DARPAN_924154,Kalyan Mission 77 (Kota),contact@kalyanmissio.org,Rajasthan,Udaipur,Udaipur Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/420/2007/8025,"Indian Trusts Act, 1882",2014-04-15,"Skill Development & Livelihood, Education",Kota,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_924154
2026-09-16,DARPAN_362779,Samarpan Society 78,contact@samarpansoci.org,Uttar Pradesh,Noida,Noida Taluk,Society,Registrar of Societies,SOC/572/1999/2352,"Societies Registration Act, 1860",2018-08-05,"Environment & Forests, Nutrition & Food Security",Noida,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_362779
2026-09-16,DARPAN_362779,Samarpan Society 78 (Prayagraj),contact@samarpansoci.org,Uttar Pradesh,Noida,Noida Taluk,Society,Registrar of Societies,SOC/572/1999/2352,"Societies Registration Act, 1860",2018-08-05,"Environment & Forests, Nutrition & Food Security",Prayagraj,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_362779
2026-09-16,DARPAN_535047,Punarutthan Foundation 79,contact@punarutthanf.org,Delhi,South Delhi,South Delhi Taluk,Society,Registrar of Societies,SOC/348/2008/9836,"Societies Registration Act, 1860",2024-04-26,"Disaster Relief & Rehabilitation, Women Empowerment",South Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_535047
2026-09-16,DARPAN_535047,Punarutthan Foundation 79 (North Delhi),,Delhi,South Delhi,South Delhi Taluk,Society,Registrar of Societies,SOC/348/2008/9836,"Societies Registration Act, 1860",2024-04-26,"Disaster Relief & Rehabilitation, Women Empowerment",North Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_535047
2026-09-16,DARPAN_878246,Uday Sansthan 80,contact@udaysansthan.org,Rajasthan,Udaipur,Udaipur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/702/1999/7697,"Companies Act, 2013",1996-02-13,"Nutrition & Food Security, Disaster Relief & Rehabilitation, Women Empowerment",Udaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_878246
2026-09-16,DARPAN_878246,Uday Sansthan 80 (Kota),contact@udaysansthan.org,Rajasthan,Udaipur,Udaipur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/702/1999/7697,"Companies Act, 2013",1996-02-13,"Nutrition & Food Security, Disaster Relief & Rehabilitation, Women Empowerment",Kota,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_878246
2026-09-16,DARPAN_878246,Uday Sansthan 80 (Jaipur),contact@udaysansthan.org,Rajasthan,Udaipur,Udaipur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/702/1999/7697,"Companies Act, 2013",1996-02-13,"Nutrition & Food Security, Disaster Relief & Rehabilitation, Women Empowerment",Jaipur,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_878246
2026-09-16,DARPAN_930248,Asha Sansthan 81,,Odisha,Sundargarh,Sundargarh Taluk,Society,Registrar of Societies,SOC/584/2016/8036,"Societies Registration Act, 1860",2022-06-11,"Rural Development, Women Empowerment, Skill Development & Livelihood",Sundargarh,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_930248
2026-09-16,DARPAN_930248,Asha Sansthan 81 (Khordha),contact@ashasansthan.org,Odisha,Sundargarh,Sundargarh Taluk,Society,Registrar of Societies,SOC/584/2016/8036,"Societies Registration Act, 1860",2022-06-11,"Rural Development, Women Empowerment, Skill Development & Livelihood",Khordha,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_930248
2026-09-16,DARPAN_930248,Asha Sansthan 81 (Puri),contact@ashasansthan.org,Odisha,Sundargarh,Sundargarh Taluk,Society,Registrar of Societies,SOC/584/2016/8036,"Societies Registration Act, 1860",2022-06-11,"Rural Development, Women Empowerment, Skill Development & Livelihood",Puri,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_930248
2026-09-16,DARPAN_101760,Punarutthan Foundation 82,contact@punarutthanf.org,Odisha,Cuttack,Cuttack Taluk,Society,Registrar of Societies,SOC/533/2015/6980,"Societies Registration Act, 1860",2011-03-17,"Water & Sanitation, Disaster Relief & Rehabilitation",Cuttack,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_101760
2026-09-16,DARPAN_101760,Punarutthan Foundation 82 (Puri),contact@punarutthanf.org,Odisha,Cuttack,Cuttack Taluk,Society,Registrar of Societies,SOC/533/2015/6980,"Societies Registration Act, 1860",2011-03-17,"Water & Sanitation, Disaster Relief & Rehabilitation",Puri,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_101760
2026-09-16,DARPAN_105582,Kalyan Mission 83,contact@kalyanmissio.org,Uttar Pradesh,Lucknow,Lucknow Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/231/2008/3641,"Indian Trusts Act, 1882",2025-01-03,"Skill Development & Livelihood, Environment & Forests, Rural Development",Lucknow,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_105582
2026-09-16,DARPAN_105582,Kalyan Mission 83 (Kanpur Nagar),contact@kalyanmissio.org,Uttar Pradesh,Lucknow,Lucknow Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/231/2008/3641,"Indian Trusts Act, 1882",2025-01-03,"Skill Development & Livelihood, Environment & Forests, Rural Development",Kanpur Nagar,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_105582
2026-09-16,DARPAN_105582,Kalyan Mission 83 (Mangaluru),contact@kalyanmissio.org,Uttar Pradesh,Lucknow,Lucknow Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/231/2008/3641,"Indian Trusts Act, 1882",2025-01-03,"Skill Development & Livelihood, Environment & Forests, Rural Development",Mangaluru,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_105582
2026-09-16,DARPAN_187298,Gramin Sansthan 84,contact@graminsansth.org,Karnataka,Mangaluru,Mangaluru Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/172/2012/4156,"Indian Trusts Act, 1882",2015-11-27,"Nutrition & Food Security, Women Empowerment",Mangaluru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_187298
2026-09-16,DARPAN_187298,Gramin Sansthan 84 (Belagavi),contact@graminsansth.org,Karnataka,Mangaluru,Mangaluru Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/172/2012/4156,"Indian Trusts Act, 1882",2015-11-27,"Nutrition & Food Security, Women Empowerment",Belagavi,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_187298
2026-09-16,DARPAN_187298,Gramin Sansthan 84 (Bengaluru Urban),contact@graminsansth.org,Karnataka,Mangaluru,Mangaluru Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/172/2012/4156,"Indian Trusts Act, 1882",2015-11-27,"Nutrition & Food Security, Women Empowerment",Bengaluru Urban,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_187298
2026-09-16,DARPAN_239794,Sneha Network 85,contact@snehanetwork.org,Tamil Nadu,Madurai,Madurai Taluk,Society,Registrar of Societies,SOC/488/2005/7115,"Societies Registration Act, 1860",2005-11-08,"Healthcare & Medical, Environment & Forests, Skill Development & Livelihood",Madurai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_239794
2026-09-16,DARPAN_239794,Sneha Network 85 (Vellore),contact@snehanetwork.org,Tamil Nadu,Madurai,Madurai Taluk,Society,Registrar of Societies,SOC/488/2005/7115,"Societies Registration Act, 1860",2005-11-08,"Healthcare & Medical, Environment & Forests, Skill Development & Livelihood",Vellore,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_239794
2026-09-16,DARPAN_239794,Sneha Network 85 (Chennai),contact@snehanetwork.org,Tamil Nadu,Madurai,Madurai Taluk,Society,Registrar of Societies,SOC/488/2005/7115,"Societies Registration Act, 1860",2005-11-08,"Healthcare & Medical, Environment & Forests, Skill Development & Livelihood",Chennai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_239794
2026-09-16,DARPAN_100561,Navjeevan Network 86,contact@navjeevannet.org,Delhi,South Delhi,South Delhi Taluk,Society,Registrar of Societies,SOC/386/2001/8059,"Societies Registration Act, 1860",2021-06-11,Healthcare & Medical,South Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_100561
